,rank,δ_rank,country,regime_type,democracy_index,δ_score,elec­toral_pro­cess_and_plura­lism,func­tioning_of_govern­ment,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
0,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies
1,1,,Norway,Full democracy,9.81,,10.00,9.64,10.00,10.00,9.41
2,2,,New Zealand,Full democracy,9.61,,10.00,9.29,10.00,8.75,10.00
3,3,,Iceland,Full democracy,9.52,,10.00,9.64,8.89,9.38,9.71
4,4,,Sweden,Full democracy,9.39,,9.58,9.64,8.33,10.00,9.41
5,5,,Finland,Full democracy,9.30,0.01,10.00,9.64,7.78,9.38,9.71
6,6,,Denmark,Full democracy,9.28,,10.00,9.29,8.33,9.38,9.41
7,7,1,Ireland,Full democracy,9.19,0.05,10.00,8.21,8.33,10.00,9.41
8,8,1,Switzerland,Full democracy,9.14,,9.58,9.29,8.33,9.38,9.12
9,9,,Netherlands,Full democracy,9.00,,9.58,8.93,8.33,8.75,9.41
10,10,,Taiwan,Full democracy,8.92,0.07,10.00,9.29,7.78,8.13,9.41
11,11,2,Luxembourg,Full democracy,8.81,,10.00,8.93,6.67,8.75,9.71
12,12,2,Germany,Full democracy,8.80,,9.58,8.57,8.33,8.13,9.41
13,13,1,Canada,Full democracy,8.69,0.19,10.00,8.21,8.89,7.50,8.82
14,14,3,Uruguay,Full democracy,8.66,0.25,10.00,8.93,7.78,6.88,9.71
15,15,1,Australia,Full democracy,8.66,0.05,10.00,8.57,7.22,7.50,10.00
16,16,,Japan,Full democracy,8.40,0.25,9.17,8.93,6.67,8.13,9.12
17,17,,Costa Rica,Full democracy,8.29,,9.58,7.50,7.78,6.88,9.71
18,18,,United Kingdom,Full democracy,8.28,,9.58,7.50,8.33,6.88,9.12
19,19,1,Austria,Full democracy,8.28,0.08,9.58,7.50,8.89,6.88,8.53
20,20,5,Greece,Full democracy,8.14,0.17,10.00,7.14,7.22,7.50,8.82
21,21,1,Mauritius,Full democracy,8.14,,9.17,7.86,6.11,8.75,8.82
22,22,2,South Korea,Full democracy,8.09,0.06,9.58,8.57,7.22,6.25,8.82
23,23,1,France,Full democracy,8.07,,9.58,7.86,7.78,6.88,8.24
24,24,1,Spain,Full democracy,8.07,,9.58,7.50,7.22,7.50,8.53
25,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies
26,25,6,Chile,Flawed democracy,7.98,0.24,9.58,8.21,6.11,6.88,9.12
27,26,1,Czech Republic,Flawed democracy,7.97,,9.58,6.43,7.22,7.50,9.12
28,27,,Estonia,Flawed democracy,7.96,,9.58,7.86,6.67,6.88,8.82
29,28,5,Malta,Flawed democracy,7.93,0.23,9.17,7.14,6.67,8.13,8.53
30,29,1,United States,Flawed democracy,7.85,,9.17,6.43,8.89,6.25,8.53
31,30,1,Israel,Flawed democracy,7.80,0.13,9.58,7.50,9.44,6.88,5.59
32,31,3,Portugal,Flawed democracy,7.75,0.20,9.58,6.79,6.67,6.88,8.82
33,32,,Slovenia,Flawed democracy,7.75,,9.58,7.14,7.22,6.25,8.53
34,33,1,Botswana,Flawed democracy,7.73,,9.17,6.79,6.67,7.50,8.53
35,34,,Italy,Flawed democracy,7.69,,9.58,6.79,7.22,7.50,7.35
36,35,,Cape Verde,Flawed democracy,7.65,,9.17,7.00,6.67,6.88,8.53
37,36,,Belgium,Flawed democracy,7.64,,9.58,8.21,5.00,6.88,8.53
38,37,,Cyprus,Flawed democracy,7.38,,9.17,5.36,6.67,6.88,8.82
39,38,1,Latvia,Flawed democracy,7.38,0.01,9.58,6.43,6.11,6.25,8.53
40,39,,Lithuania,Flawed democracy,7.31,,9.58,6.43,6.11,5.63,8.82
41,40,,Malaysia,Flawed democracy,7.29,0.01,9.58,7.50,7.22,6.25,5.88
42,41,5,India,Flawed democracy,7.18,0.14,8.67,7.86,7.22,6.25,5.88
43,42,,Poland,Flawed democracy,7.18,0.14,9.58,6.07,6.67,6.25,7.35
44,43,2,Trinidad and Tobago,Flawed democracy,7.16,,9.58,7.14,6.11,5.63,7.35
45,44,1,Slovakia,Flawed democracy,7.05,,7.42,7.14,8.33,5.00,7.35
