,rank,.mw-parser-output_.tooltip-dotted{border-bottom:1px_dotted;cursor:help}δ_rank,country,regime_type,overall_score,δ_score,elec­toral_pro­cess_and_plura­lism,func­tioning_of_govern­ment,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
1,1,,Norway,Full democracy,9.81,0.06,10.00,9.64,10.00,10.00,9.41
2,2,,Iceland,Full democracy,9.37,0.21,10.00,8.57,8.89,10.00,9.41
3,3,,Sweden,Full democracy,9.26,0.13,9.58,9.29,8.33,10.00,9.12
4,4,,New Zealand,Full democracy,9.25,0.01,10.00,8.93,8.89,8.75,9.71
5,5,2,Canada,Full democracy,9.24,0.02,9.58,8.93,8.89,9.38,9.41
6,6,1,Finland,Full democracy,9.20,0.05,10.00,8.93,8.89,8.75,9.41
7,7,,Denmark,Full democracy,9.15,0.07,10.00,8.93,8.33,9.38,9.12
8,8,2,Ireland,Full democracy,9.05,0.19,10.00,7.86,8.33,9.38,9.71
9,9,,Australia,Full democracy,8.96,0.13,10.00,8.57,7.78,8.75,9.71
10,9,2,Netherlands,Full democracy,8.96,0.05,9.58,9.29,8.33,8.75,8.82
11,11,20,Taiwan,Full democracy,8.94,1.21,10.00,9.64,7.22,8.13,9.71
12,12,2,Switzerland,Full democracy,8.83,0.20,9.58,8.57,7.78,9.38,8.82
13,13,1,Luxembourg,Full democracy,8.68,0.13,10.00,8.57,6.67,8.75,9.71
14,14,1,Germany,Full democracy,8.67,0.01,9.58,8.21,8.33,8.13,9.12
15,15,,Uruguay,Full democracy,8.61,0.23,10.00,8.57,6.67,8.13,9.71
16,16,2,United Kingdom,Full democracy,8.54,0.02,10.00,7.50,8.89,7.50,8.82
17,17,4,Chile,Full democracy,8.28,0.20,9.58,8.21,6.67,8.13,8.82
18,18,2,Austria,Full democracy,8.16,0.13,9.58,7.50,8.33,6.88,8.53
19,18,1,Costa Rica,Full democracy,8.16,0.03,9.58,6.79,7.22,7.50,9.71
20,20,2,Mauritius,Full democracy,8.14,0.08,9.17,7.86,6.11,8.75,8.82
21,21,3,Japan,Full democracy,8.13,0.14,8.75,8.57,6.67,8.13,8.53
22,22,6,Spain,Full democracy,8.12,0.17,9.58,7.14,7.22,8.13,8.53
23,23,,South Korea,Full democracy,8.01,0.01,9.17,8.21,7.22,7.50,7.94
25,24,4,France,Flawed democracy,7.99,0.13,9.58,7.50,7.78,6.88,8.24
26,25,,United States,Flawed democracy,7.92,0.04,9.17,6.79,8.89,6.25,8.53
27,26,4,Portugal,Flawed democracy,7.90,0.13,9.58,7.50,6.11,7.50,8.82
28,27,,Estonia,Flawed democracy,7.84,0.06,9.58,7.86,6.67,6.88,8.24
29,27,1,Israel,Flawed democracy,7.84,0.02,9.17,7.50,9.44,7.50,5.59
30,29,6,Italy,Flawed democracy,7.74,0.22,9.58,6.43,7.22,7.50,7.94
31,30,4,Malta,Flawed democracy,7.68,0.27,9.17,6.79,6.11,8.13,8.24
32,31,1,Czech Republic,Flawed democracy,7.67,0.02,9.58,6.07,6.67,7.50,8.53
33,32,2,Cape Verde,Flawed democracy,7.65,0.13,9.17,7.00,6.67,6.88,8.53
34,33,4,Botswana,Flawed democracy,7.62,0.19,9.17,6.79,6.11,7.50,8.53
35,34,,Cyprus,Flawed democracy,7.56,0.03,9.17,5.36,7.22,7.50,8.53
36,35,1,Slovenia,Flawed democracy,7.54,0.04,9.58,6.43,7.22,6.25,8.24
37,36,3,Belgium,Flawed democracy,7.51,0.13,9.58,7.86,5.00,6.88,8.24
38,37,2,Greece,Flawed democracy,7.39,0.04,9.58,5.21,6.11,7.50,8.53
39,38,,Latvia,Flawed democracy,7.24,0.25,9.58,6.07,6.67,5.63,8.24
40,39,4,Malaysia,Flawed democracy,7.19,0.03,9.58,7.86,6.67,6.25,5.59
41,40,6,Panama,Flawed democracy,7.18,0.13,9.58,6.43,7.22,5.00,7.65
42,41,2,Trinidad and Tobago,Flawed democracy,7.16,,9.58,7.14,6.11,5.63,7.35
43,42,8,Jamaica,Flawed democracy,7.13,0.17,8.75,7.14,5.00,6.25,8.53
44,42,6,Lithuania,Flawed democracy,7.13,0.37,9.58,6.07,5.56,5.63,8.82
45,44,3,Timor-Leste,Flawed democracy,7.06,0.13,9.58,5.93,5.56,6.88,7.35
46,45,5,South Africa,Flawed democracy,7.05,0.19,7.42,7.14,8.33,5.00,7.35
47,46,1,Colombia,Flawed democracy,7.04,0.09,9.17,6.43,6.67,5.00,7.94
48,47,5,Slovakia,Flawed democracy,6.97,0.20,9.58,6.43,5.56,5.63,7.65
49,48,,Argentina,Flawed democracy,6.95,0.07,9.17,5.36,6.67,5.63,7.94
50,49,3,Brazil,Flawed democracy,6.92,0.04,9.58,5.36,6.11,5.63,7.94
51,50,7,Poland,Flawed democracy,6.85,0.23,9.17,5.71,6.67,5.63,7.06
52,51,2,Suriname,Flawed democracy,6.82,0.16,9.58,6.07,6.11,5.00,7.35
53,52,5,Bulgaria,Flawed democracy,6.71,0.32,9.17,5.71,7.22,4.38,7.06
54,53,2,India,Flawed democracy,6.61,0.29,8.67,7.14,6.67,5.00,5.59
55,54,1,Tunisia,Flawed democracy,6.59,0.13,9.17,5.36,7.22,5.63,5.59
56,55,1,Philippines,Flawed democracy,6.56,0.08,9.17,5.00,7.78,4.38,6.47
